iter,f_B,f_S
0,1.2015780566484416e-01,3.0000000000000000e+02
500,8.3999400618482073e-02,4.8500000000000000e+02
1000,5.9118510615040303e-02,6.0800000000000000e+02
1500,3.9565665837534285e-02,6.9200000000000000e+02
2000,2.4532358615532289e-02,7.5000000000000000e+02
2500,1.3704312823615766e-02,7.7300000000000000e+02
3000,6.7161532210590676e-03,7.9800000000000000e+02
3500,2.9136831889944271e-03,8.0600000000000000e+02
4000,1.3887100441030674e-03,8.0700000000000000e+02
4500,8.4702619125173284e-04,7.8400000000000000e+02
5000,5.7044773655792400e-04,7.3700000000000000e+02
5500,4.0510220944859368e-04,7.0900000000000000e+02
6000,2.8065233153115143e-04,6.8800000000000000e+02
6500,1.7173500967617092e-04,6.7100000000000000e+02
7000,1.0281614430805625e-04,6.3600000000000000e+02
7500,4.8628275017788032e-05,6.1900000000000000e+02
8000,3.5973137502332324e-05,6.0400000000000000e+02
8031,3.5759674332638158e-05,6.0400000000000000e+02
