iter,f_B,f_S
0,1.2015780566484416e-01,3.0000000000000000e+02
500,8.4014549977575528e-02,4.9800000000000000e+02
1000,5.9157838418017250e-02,6.6300000000000000e+02
1500,3.9558885013914726e-02,7.8200000000000000e+02
2000,2.4492153076245179e-02,8.9500000000000000e+02
2500,1.3679719736666660e-02,1.0010000000000000e+03
3000,6.5897346735023692e-03,1.1130000000000000e+03
3500,2.7626036556341860e-03,1.2220000000000000e+03
4000,1.2633446085732979e-03,1.4260000000000000e+03
4500,7.2218836641923460e-04,1.6740000000000000e+03
5000,4.2712819293148300e-04,1.8330000000000000e+03
5500,2.3235955281913906e-04,1.9480000000000000e+03
6000,1.1027036903648500e-04,2.0130000000000000e+03
6500,4.4663025276485951e-05,2.0930000000000000e+03
7000,1.6805446368685967e-05,2.2200000000000000e+03
7500,6.7929524892636915e-06,2.2210000000000000e+03
7553,6.4623488199368533e-06,2.2150000000000000e+03
