phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,-9.8276293553677943e-04
1.4062500000000000e+00,1.1250000000000000e+01,-4.7656275237847786e-04
1.4062500000000000e+00,2.2500000000000000e+01,-5.5762395241277509e-04
1.4062500000000000e+00,3.3750000000000000e+01,-7.3043097544062466e-04
1.4062500000000000e+00,4.5000000000000000e+01,-6.0869612707411353e-04
1.4062500000000000e+00,5.6250000000000000e+01,-1.5985635307680139e-03
1.4062500000000000e+00,6.7500000000000000e+01,-3.2812154162289260e-03
1.4062500000000000e+00,7.8750000000000000e+01,-4.3531043943801440e-03
1.4062500000000000e+00,9.0000000000000000e+01,-2.8526386814962433e-03
1.4062500000000000e+00,1.0125000000000000e+02,1.6495287779151814e-03
1.4062500000000000e+00,1.1250000000000000e+02,1.6075852738620751e-03
1.4062500000000000e+00,1.2375000000000000e+02,-1.1670838423218559e-03
1.4062500000000000e+00,1.3500000000000000e+02,-3.2595062741599175e-03
1.4062500000000000e+00,1.4625000000000000e+02,-3.3605209749254096e-03
1.4062500000000000e+00,1.5750000000000000e+02,-2.1660825843925328e-03
1.4062500000000000e+00,1.6875000000000000e+02,-8.9239774328143202e-04
1.4062500000000000e+00,1.8000000000000000e+02,5.4460820874638923e-05
1.4062500000000000e+00,1.9125000000000000e+02,8.7511825186291164e-04
1.4062500000000000e+00,2.0250000000000000e+02,1.6568201462998768e-03
1.4062500000000000e+00,2.1375000000000000e+02,1.9950292763329406e-03
1.4062500000000000e+00,2.2500000000000000e+02,1.0801958943875637e-03
1.4062500000000000e+00,2.3625000000000000e+02,-1.4781028103130569e-03
1.4062500000000000e+00,2.4750000000000000e+02,-4.6232591278919169e-03
1.4062500000000000e+00,2.5875000000000000e+02,-5.2298657107198322e-03
1.4062500000000000e+00,2.7000000000000000e+02,5.5845069451541083e-04
1.4062500000000000e+00,2.8125000000000000e+02,4.0604631554647958e-03
1.4062500000000000e+00,2.9250000000000000e+02,3.1641312734261209e-03
1.4062500000000000e+00,3.0375000000000000e+02,1.8219138445596773e-03
1.4062500000000000e+00,3.1500000000000000e+02,1.6876322942263600e-03
1.4062500000000000e+00,3.2625000000000000e+02,1.7194579636361045e-03
1.4062500000000000e+00,3.3750000000000000e+02,1.4029261145958197e-04
1.4062500000000000e+00,3.4875000000000000e+02,-1.1125147627976454e-03
4.2187500000000000e+00,0.0000000000000000e+00,-5.0192065721501721e-04
4.2187500000000000e+00,1.1250000000000000e+01,1.5852342986628960e-04
