p1x,p1y,p1z,p1phi,p1theta,p2x,p2y,p2z,p2phi,p2theta,current,orientation,constrained
1.6049602088919264e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5849616501288677e+00,2.0866415981970568e-01,4.9577892377382894e-02,7.5000000000000000e+00,0.0000000000000000e+00,1.4762779651281131e+04,1,0
1.5865644841463014e+00,0.0000000000000000e+00,1.5067074167552838e-01,0.0000000000000000e+00,1.6363636363636363e+01,1.5575507463313438e+00,2.0505544587363383e-01,1.9605520026474260e-01,7.5000000000000000e+00,1.6363636363636363e+01,6.2959652127108318e+04,1,0
1.5380796078054519e+00,0.0000000000000000e+00,3.0409151841236898e-01,0.0000000000000000e+00,3.2727272727272727e+01,1.4965823253759234e+00,1.9702880098089301e-01,3.3881549606710171e-01,7.5000000000000000e+00,3.2727272727272727e+01,-8.6209243676716469e+03,1,0
1.4700211784390373e+00,0.0000000000000000e+00,4.5079158585658730e-01,0.0000000000000000e+00,4.9090909090909086e+01,1.4127484205931040e+00,1.8599185803373092e-01,4.7730593651017444e-01,7.5000000000000000e+00,4.9090909090909086e+01,5.9077184671597686e+04,1,0
1.3806072823800144e+00,0.0000000000000000e+00,5.6743772625482936e-01,0.0000000000000000e+00,6.5454545454545453e+01,1.3129024814868409e+00,1.7284689077643231e-01,5.9476671282903648e-01,7.5000000000000000e+00,6.5454545454545453e+01,5.9560206277692683e+04,1,0
1.2569271086441378e+00,0.0000000000000000e+00,6.2796561009275320e-01,0.0000000000000000e+00,8.1818181818181827e+01,1.1924192391168622e+00,1.5698497100099709e-01,6.6321483587075269e-01,7.5000000000000000e+00,8.1818181818181827e+01,-1.8647914238923261e+05,1,0
1.0988643806630725e+00,0.0000000000000000e+00,6.1894159532861670e-01,0.0000000000000000e+00,9.8181818181818173e+01,1.0472044759426080e+00,1.3786708474254433e-01,6.6122867868137869e-01,7.5000000000000000e+00,9.8181818181818173e+01,1.8597335317709314e+05,1,0
9.3990680896245504e-01,0.0000000000000000e+00,5.4672440281674728e-01,0.0000000000000000e+00,1.1454545454545455e+02,8.9502484299299323e-01,1.1783225598279438e-01,5.8948977448896056e-01,7.5000000000000000e+00,1.1454545454545455e+02,1.8865159812515805e+05,1,0
8.3296063742701398e-01,0.0000000000000000e+00,4.3136158507844696e-01,0.0000000000000000e+00,1.3090909090909091e+02,7.7873528686918614e-01,1.0252244547576553e-01,4.7033863762062572e-01,7.5000000000000000e+00,1.3090909090909091e+02,1.5528751124785002e+05,1,0
8.0542856473090230e-01,0.0000000000000000e+00,2.9393430434268553e-01,0.0000000000000000e+00,1.4727272727272728e+02,7.3714398581093465e-01,9.7046846813537424e-02,3.3194416202630855e-01,7.5000000000000000e+00,1.4727272727272728e+02,8.3279532276303042e+04,1,0
8.2970861341843261e-01,0.0000000000000000e+00,1.4812744979627293e-01,0.0000000000000000e+00,1.6363636363636365e+02,7.6695056260963079e-01,1.0097095709361631e-01,1.9132555970548920e-01,7.5000000000000000e+00,1.6363636363636365e+02,4.0020954418062771e+04,1,0
8.4770496243423032e-01,0.0000000000000000e+00,6.3634982238966618e-17,0.0000000000000000e+00,1.8000000000000000e+02,8.1953413024675492e-01,1.0789371510509944e-01,5.0172786231590605e-02,7.5000000000000000e+00,1.8000000000000000e+02,-3.2501903203502425e+05,1,0
8.2970861341843261e-01,0.0000000000000000e+00,-1.4812744979627279e-01,0.0000000000000000e+00,1.9636363636363635e+02,8.4555522580731213e-01,1.1131945732560711e-01,-9.5726928063360500e-02,7.5000000000000000e+00,1.9636363636363635e+02,-1.8537663471646214e+05,1,0
8.0542856473090219e-01,0.0000000000000000e+00,-2.9393430434268558e-01,0.0000000000000000e+00,2.1272727272727275e+02,8.4492415229075135e-01,1.1123637492099062e-01,-2.4455731248067214e-01,7.5000000000000000e+00,2.1272727272727275e+02,2.3602169117029611e+04,1,0
8.3296063742701398e-01,0.0000000000000000e+00,-4.3136158507844680e-01,0.0000000000000000e+00,2.2909090909090909e+02,8.6685534601777003e-01,1.1412367135022566e-01,-3.8440963854653737e-01,7.5000000000000000e+00,2.2909090909090909e+02,1.7683346647579689e+05,1,0
9.3990680896245493e-01,0.0000000000000000e+00,-5.4672440281674728e-01,0.0000000000000000e+00,2.4545454545454547e+02,9.5755853716222650e-01,1.2606497300354030e-01,-4.9746114411691755e-01,7.5000000000000000e+00,2.4545454545454547e+02,7.6314857484517488e+04,1,0
1.0988643806630725e+00,0.0000000000000000e+00,-6.1894159532861670e-01,0.0000000000000000e+00,2.6181818181818181e+02,1.1119703081341681e+00,1.4639366830888939e-01,-5.6603353553309521e-01,7.5000000000000000e+00,2.6181818181818181e+02,7.3443806145816619e+04,1,0
1.2569271086441378e+00,0.0000000000000000e+00,-6.2796561009275320e-01,0.0000000000000000e+00,2.7818181818181819e+02,1.2795419519839444e+00,1.6845489374653799e-01,-5.7669465707275180e-01,7.5000000000000000e+00,2.7818181818181819e+02,3.0850656821296341e+05,1,0
1.3806072823800144e+00,0.0000000000000000e+00,-5.6743772625482913e-01,0.0000000000000000e+00,2.9454545454545456e+02,1.4115508856903602e+00,1.8583419957283662e-01,-5.2387650957673104e-01,7.5000000000000000e+00,2.9454545454545456e+02,-2.7123134567706235e+05,1,0
1.4700211784390376e+00,0.0000000000000000e+00,-4.5079158585658730e-01,0.0000000000000000e+00,3.1090909090909093e+02,1.4955953132656539e+00,1.9689885837142704e-01,-4.1402730895196049e-01,7.5000000000000000e+00,3.1090909090909093e+02,1.0318595656740450e+05,1,0
1.5380796078054519e+00,0.0000000000000000e+00,-3.0409151841236892e-01,0.0000000000000000e+00,3.2727272727272731e+02,1.5469431484522846e+00,2.0365892911945291e-01,-2.6638392974310948e-01,7.5000000000000000e+00,3.2727272727272731e+02,5.5823772039726988e+04,1,0
1.5865644841463011e+00,0.0000000000000000e+00,-1.5067074167552844e-01,0.0000000000000000e+00,3.4363636363636363e+02,1.5781703767203816e+00,2.0777007171367962e-01,-1.0581983695204719e-01,7.5000000000000000e+00,3.4363636363636363e+02,-3.8334512495563496e+04,1,0
1.5849616501288677e+00,2.0866415981970568e-01,4.9577892377382894e-02,7.5000000000000000e+00,0.0000000000000000e+00,1.5269347429803002e+00,4.0914093127659534e-01,9.4145062740766228e-02,1.5000000000000000e+01,0.0000000000000000e+00,6.3375220118892561e+04,1,0
1.5575507463313438e+00,2.0505544587363383e-01,1.9605520026474260e-01,7.5000000000000000e+00,1.6363636363636363e+01,1.4922594518774586e+00,3.9984971502827482e-01,2.3770802084893855e-01,1.5000000000000000e+01,1.6363636363636363e+01,-6.6395154340872701e+04,1,0
1.4965823253759234e+00,1.9702880098089301e-01,3.3881549606710171e-01,7.5000000000000000e+00,3.2727272727272727e+01,1.4248712097304204e+00,3.8179308996562300e-01,3.6969993854294919e-01,1.5000000000000000e+01,3.2727272727272727e+01,1.9420775440397869e+04,1,0
1.4127484205931040e+00,1.8599185803373092e-01,4.7730593651017444e-01,7.5000000000000000e+00,4.9090909090909086e+01,1.3311030803222390e+00,3.5666799541492378e-01,4.9546610974777894e-01,1.5000000000000000e+01,4.9090909090909086e+01,-3.2679959814992617e+03,1,0
1.3129024814868409e+00,1.7284689077643231e-01,5.9476671282903648e-01,7.5000000000000000e+00,6.5454545454545453e+01,1.2213367628673222e+00,3.2725619929674055e-01,6.0654529954190906e-01,1.5000000000000000e+01,6.5454545454545453e+01,1.3137063678466302e+05,1,0
