phi,theta,relBn
9.8437500000000000e+00,1.6875000000000000e+02,-1.3490735971118844e-02
9.8437500000000000e+00,1.8000000000000000e+02,-1.2209092611100958e-02
9.8437500000000000e+00,1.9125000000000000e+02,-7.1450904220725052e-03
9.8437500000000000e+00,2.0250000000000000e+02,-2.1299276461101001e-03
9.8437500000000000e+00,2.1375000000000000e+02,3.7862752371149342e-04
9.8437500000000000e+00,2.2500000000000000e+02,-8.4615165866267243e-05
9.8437500000000000e+00,2.3625000000000000e+02,-2.8309981672026865e-03
9.8437500000000000e+00,2.4750000000000000e+02,-7.2751356508270219e-03
9.8437500000000000e+00,2.5875000000000000e+02,-1.3547850882533199e-02
9.8437500000000000e+00,2.7000000000000000e+02,-1.8745146758856333e-02
9.8437500000000000e+00,2.8125000000000000e+02,-9.6414113951495579e-03
9.8437500000000000e+00,2.9250000000000000e+02,3.8841696124919590e-04
9.8437500000000000e+00,3.0375000000000000e+02,4.1629217065813628e-03
9.8437500000000000e+00,3.1500000000000000e+02,3.5618479302329900e-03
9.8437500000000000e+00,3.2625000000000000e+02,1.6134779237022103e-03
9.8437500000000000e+00,3.3750000000000000e+02,1.1369809720836968e-03
9.8437500000000000e+00,3.4875000000000000e+02,1.8298370713811657e-03
1.2656250000000000e+01,0.0000000000000000e+00,1.3750192140798115e-03
1.2656250000000000e+01,1.1250000000000000e+01,-1.9604394338220152e-03
1.2656250000000000e+01,2.2500000000000000e+01,-2.9614426129830414e-03
1.2656250000000000e+01,3.3750000000000000e+01,-1.5226738760683812e-03
1.2656250000000000e+01,4.5000000000000000e+01,-7.0637623897938556e-05
1.2656250000000000e+01,5.6250000000000000e+01,1.1677774997668333e-04
1.2656250000000000e+01,6.7500000000000000e+01,-1.1247589938615621e-03
1.2656250000000000e+01,7.8750000000000000e+01,-3.3505494867698865e-03
1.2656250000000000e+01,9.0000000000000000e+01,-3.6975648805029873e-03
1.2656250000000000e+01,1.0125000000000000e+02,6.2692549988877296e-03
1.2656250000000000e+01,1.1250000000000000e+02,1.9523466045915840e-02
1.2656250000000000e+01,1.2375000000000000e+02,2.0478432281145809e-02
1.2656250000000000e+01,1.3500000000000000e+02,1.2520386616027354e-02
1.2656250000000000e+01,1.4625000000000000e+02,-3.1658837509733646e-04
1.2656250000000000e+01,1.5750000000000000e+02,-1.2747961389013704e-02
1.2656250000000000e+01,1.6875000000000000e+02,-1.9456268176820491e-02
1.2656250000000000e+01,1.8000000000000000e+02,-1.8658986876960323e-02
1.2656250000000000e+01,1.9125000000000000e+02,-1.3134094153017289e-02
1.2656250000000000e+01,2.0250000000000000e+02,-7.1519258905078436e-03
1.2656250000000000e+01,2.1375000000000000e+02,-3.2349998628844099e-03
1.2656250000000000e+01,2.2500000000000000e+02,-1.5643122170329851e-03
1.2656250000000000e+01,2.3625000000000000e+02,-1.4443477191801667e-03
1.2656250000000000e+01,2.4750000000000000e+02,-2.8326581587239841e-03
1.2656250000000000e+01,2.5875000000000000e+02,-6.6024511383568178e-03
1.2656250000000000e+01,2.7000000000000000e+02,-1.2004995239477036e-02
1.2656250000000000e+01,2.8125000000000000e+02,-7.6435390785688576e-03
1.2656250000000000e+01,2.9250000000000000e+02,1.6135845572409326e-03
1.2656250000000000e+01,3.0375000000000000e+02,6.1377534167371796e-03
1.2656250000000000e+01,3.1500000000000000e+02,6.7087580779802859e-03
1.2656250000000000e+01,3.2625000000000000e+02,5.7429075248925775e-03
1.2656250000000000e+01,3.3750000000000000e+02,5.0598260735203330e-03
1.2656250000000000e+01,3.4875000000000000e+02,4.1184926180476604e-03
1.5468750000000000e+01,0.0000000000000000e+00,-2.6980021550862222e-03
1.5468750000000000e+01,1.1250000000000000e+01,-6.1304733406157942e-03
1.5468750000000000e+01,2.2500000000000000e+01,-7.1419478932566111e-03
1.5468750000000000e+01,3.3750000000000000e+01,-5.2341843284303873e-03
1.5468750000000000e+01,4.5000000000000000e+01,-1.9900596561855193e-03
1.5468750000000000e+01,5.6250000000000000e+01,1.1749302232691335e-03
1.5468750000000000e+01,6.7500000000000000e+01,2.9022341086597323e-03
1.5468750000000000e+01,7.8750000000000000e+01,2.6724146719753848e-03
1.5468750000000000e+01,9.0000000000000000e+01,2.6983017389465213e-03
1.5468750000000000e+01,1.0125000000000000e+02,1.0045412273732558e-02
1.5468750000000000e+01,1.1250000000000000e+02,2.0767211017605858e-02
1.5468750000000000e+01,1.2375000000000000e+02,2.0161408786417697e-02
1.5468750000000000e+01,1.3500000000000000e+02,1.0833738370300345e-02
1.5468750000000000e+01,1.4625000000000000e+02,-3.3117803192897794e-03
1.5468750000000000e+01,1.5750000000000000e+02,-1.6883596977342177e-02
1.5468750000000000e+01,1.6875000000000000e+02,-2.4316799954435836e-02
1.5468750000000000e+01,1.8000000000000000e+02,-2.3726694663341045e-02
1.5468750000000000e+01,1.9125000000000000e+02,-1.8063296000632067e-02
1.5468750000000000e+01,2.0250000000000000e+02,-1.1741431667750336e-02
1.5468750000000000e+01,2.1375000000000000e+02,-6.9588583918015123e-03
1.5468750000000000e+01,2.2500000000000000e+02,-3.2661218269414089e-03
1.5468750000000000e+01,2.3625000000000000e+02,2.7780858262028269e-04
1.5468750000000000e+01,2.4750000000000000e+02,3.3024879511155403e-03
1.5468750000000000e+01,2.5875000000000000e+02,4.1851697853985143e-03
1.5468750000000000e+01,2.7000000000000000e+02,1.0250163913350814e-03
1.5468750000000000e+01,2.8125000000000000e+02,-3.5199336787251120e-03
1.5468750000000000e+01,2.9250000000000000e+02,-2.2761514475439009e-03
1.5468750000000000e+01,3.0375000000000000e+02,1.0863438502083978e-05
1.5468750000000000e+01,3.1500000000000000e+02,1.2584843521891579e-03
1.5468750000000000e+01,3.2625000000000000e+02,1.8133750265387095e-03
1.5468750000000000e+01,3.3750000000000000e+02,1.8034327151838804e-03
1.5468750000000000e+01,3.4875000000000000e+02,4.7164620278954296e-04
1.8281250000000000e+01,0.0000000000000000e+00,-1.9998399087853063e-03
1.8281250000000000e+01,1.1250000000000000e+01,-4.7076538991667419e-03
1.8281250000000000e+01,2.2500000000000000e+01,-4.9960513237711900e-03
1.8281250000000000e+01,3.3750000000000000e+01,-2.3579119166887582e-03
1.8281250000000000e+01,4.5000000000000000e+01,1.7559490704355241e-03
