phi,theta,relBn
7.0312500000000000e+00,2.7000000000000000e+02,-4.2818051570631815e-03
7.0312500000000000e+00,2.8125000000000000e+02,-4.5534748689401569e-03
7.0312500000000000e+00,2.9250000000000000e+02,-3.9339733826892096e-03
7.0312500000000000e+00,3.0375000000000000e+02,-4.2682262505122090e-03
7.0312500000000000e+00,3.1500000000000000e+02,-5.0179297170216087e-03
7.0312500000000000e+00,3.2625000000000000e+02,-5.0083324080472200e-03
7.0312500000000000e+00,3.3750000000000000e+02,-3.2915376054672321e-03
7.0312500000000000e+00,3.4875000000000000e+02,-9.2245084120103169e-04
9.8437500000000000e+00,0.0000000000000000e+00,5.5780927820076823e-03
9.8437500000000000e+00,1.1250000000000000e+01,4.3717231671373501e-03
9.8437500000000000e+00,2.2500000000000000e+01,3.3235877255520727e-03
9.8437500000000000e+00,3.3750000000000000e+01,2.9420258677216133e-03
9.8437500000000000e+00,4.5000000000000000e+01,2.2780186121632300e-03
9.8437500000000000e+00,5.6250000000000000e+01,1.1921536160452908e-03
9.8437500000000000e+00,6.7500000000000000e+01,3.2560183538958174e-05
9.8437500000000000e+00,7.8750000000000000e+01,-1.0562193047492924e-03
9.8437500000000000e+00,9.0000000000000000e+01,-1.3207361338668352e-03
9.8437500000000000e+00,1.0125000000000000e+02,9.1377602951918065e-04
9.8437500000000000e+00,1.1250000000000000e+02,2.0961352892678747e-03
9.8437500000000000e+00,1.2375000000000000e+02,4.5516629970555162e-04
9.8437500000000000e+00,1.3500000000000000e+02,-1.4734826865593434e-03
9.8437500000000000e+00,1.4625000000000000e+02,-2.0438249355028606e-03
9.8437500000000000e+00,1.5750000000000000e+02,-1.1559785548089607e-03
9.8437500000000000e+00,1.6875000000000000e+02,3.3170403547774057e-05
9.8437500000000000e+00,1.8000000000000000e+02,3.7259042446294039e-04
9.8437500000000000e+00,1.9125000000000000e+02,-3.2298316094710687e-04
9.8437500000000000e+00,2.0250000000000000e+02,-1.2345425772876887e-03
9.8437500000000000e+00,2.1375000000000000e+02,-1.3085257539416982e-03
9.8437500000000000e+00,2.2500000000000000e+02,-4.0765200411137334e-04
9.8437500000000000e+00,2.3625000000000000e+02,4.5798551970192462e-04
9.8437500000000000e+00,2.4750000000000000e+02,1.5189128432307040e-04
9.8437500000000000e+00,2.5875000000000000e+02,-1.7133332608618944e-03
9.8437500000000000e+00,2.7000000000000000e+02,-3.8444946809749114e-03
