phi,theta,relBn
4.2187500000000000e+00,1.1250000000000000e+01,1.4316009271390866e-04
4.2187500000000000e+00,2.2500000000000000e+01,-1.5790583915634929e-03
4.2187500000000000e+00,3.3750000000000000e+01,-1.9412802796314917e-03
4.2187500000000000e+00,4.5000000000000000e+01,-5.8147996346334207e-04
4.2187500000000000e+00,5.6250000000000000e+01,3.3388481595239712e-04
4.2187500000000000e+00,6.7500000000000000e+01,4.6004927753126709e-04
4.2187500000000000e+00,7.8750000000000000e+01,-1.8365428954229298e-03
4.2187500000000000e+00,9.0000000000000000e+01,-4.5407287239349944e-03
4.2187500000000000e+00,1.0125000000000000e+02,5.0762003376618838e-04
4.2187500000000000e+00,1.1250000000000000e+02,3.6525232155650120e-03
4.2187500000000000e+00,1.2375000000000000e+02,9.0906433614972688e-04
4.2187500000000000e+00,1.3500000000000000e+02,-1.4908783408708914e-03
4.2187500000000000e+00,1.4625000000000000e+02,-8.1369527865381044e-04
4.2187500000000000e+00,1.5750000000000000e+02,6.5679636107133209e-04
4.2187500000000000e+00,1.6875000000000000e+02,5.4614249010559912e-04
4.2187500000000000e+00,1.8000000000000000e+02,-2.8661839463319769e-04
4.2187500000000000e+00,1.9125000000000000e+02,-6.3439640953355839e-04
4.2187500000000000e+00,2.0250000000000000e+02,-5.5809352064348282e-04
4.2187500000000000e+00,2.1375000000000000e+02,2.6574880381760878e-04
4.2187500000000000e+00,2.2500000000000000e+02,1.6858232971834598e-03
4.2187500000000000e+00,2.3625000000000000e+02,1.6860323161946409e-03
4.2187500000000000e+00,2.4750000000000000e+02,-7.7488241338018887e-04
4.2187500000000000e+00,2.5875000000000000e+02,-2.4694958627839206e-03
4.2187500000000000e+00,2.7000000000000000e+02,1.5848897917087117e-03
4.2187500000000000e+00,2.8125000000000000e+02,3.2615736645927444e-03
4.2187500000000000e+00,2.9250000000000000e+02,1.9661370898137003e-04
4.2187500000000000e+00,3.0375000000000000e+02,-2.0642824353922905e-03
4.2187500000000000e+00,3.1500000000000000e+02,-1.9097557486270323e-03
4.2187500000000000e+00,3.2625000000000000e+02,-8.8328132052659743e-04
4.2187500000000000e+00,3.3750000000000000e+02,-1.0033139392063774e-03
4.2187500000000000e+00,3.4875000000000000e+02,-1.1508731019966474e-03
7.0312500000000000e+00,0.0000000000000000e+00,6.5255351287315695e-05
7.0312500000000000e+00,1.1250000000000000e+01,5.4671984973434569e-04
7.0312500000000000e+00,2.2500000000000000e+01,-5.4266568704388945e-05
7.0312500000000000e+00,3.3750000000000000e+01,-6.1866798292725071e-04
7.0312500000000000e+00,4.5000000000000000e+01,-5.4451181410032504e-04
7.0312500000000000e+00,5.6250000000000000e+01,2.3840624287833228e-04
7.0312500000000000e+00,6.7500000000000000e+01,1.2371290387463577e-03
7.0312500000000000e+00,7.8750000000000000e+01,-7.8101702198493921e-04
7.0312500000000000e+00,9.0000000000000000e+01,-5.1837816905007167e-03
7.0312500000000000e+00,1.0125000000000000e+02,-2.2685482992785772e-03
7.0312500000000000e+00,1.1250000000000000e+02,3.0222481584487805e-03
7.0312500000000000e+00,1.2375000000000000e+02,1.2517621033617137e-03
7.0312500000000000e+00,1.3500000000000000e+02,-1.8412672132209987e-03
7.0312500000000000e+00,1.4625000000000000e+02,-1.7643936815518143e-03
7.0312500000000000e+00,1.5750000000000000e+02,1.8941000006507107e-04
7.0312500000000000e+00,1.6875000000000000e+02,7.4780257652543112e-04
7.0312500000000000e+00,1.8000000000000000e+02,-1.3254461882602960e-04
7.0312500000000000e+00,1.9125000000000000e+02,-7.4540623027365561e-04
7.0312500000000000e+00,2.0250000000000000e+02,-6.3569734996395675e-04
7.0312500000000000e+00,2.1375000000000000e+02,1.9949493338883946e-04
7.0312500000000000e+00,2.2500000000000000e+02,1.5413971012519566e-03
7.0312500000000000e+00,2.3625000000000000e+02,1.7325271586196094e-03
7.0312500000000000e+00,2.4750000000000000e+02,-5.8587039137471643e-04
7.0312500000000000e+00,2.5875000000000000e+02,-3.0460264822305301e-03
7.0312500000000000e+00,2.7000000000000000e+02,9.8734849445615566e-05
7.0312500000000000e+00,2.8125000000000000e+02,3.6572315617463447e-03
7.0312500000000000e+00,2.9250000000000000e+02,1.3726450759957260e-03
7.0312500000000000e+00,3.0375000000000000e+02,-1.1906707111895630e-03
7.0312500000000000e+00,3.1500000000000000e+02,-1.5953848964917303e-03
7.0312500000000000e+00,3.2625000000000000e+02,-2.4934227260302175e-04
7.0312500000000000e+00,3.3750000000000000e+02,7.3750762061017283e-04
7.0312500000000000e+00,3.4875000000000000e+02,2.8121152299382377e-04
9.8437500000000000e+00,0.0000000000000000e+00,4.1326614585906492e-04
9.8437500000000000e+00,1.1250000000000000e+01,9.3295378429180070e-04
9.8437500000000000e+00,2.2500000000000000e+01,7.7558819439253962e-04
9.8437500000000000e+00,3.3750000000000000e+01,2.8693100534845088e-05
9.8437500000000000e+00,4.5000000000000000e+01,-4.9852516732807359e-04
9.8437500000000000e+00,5.6250000000000000e+01,4.4216937558001963e-04
9.8437500000000000e+00,6.7500000000000000e+01,2.2479547402437785e-03
9.8437500000000000e+00,7.8750000000000000e+01,1.2890796148994105e-03
9.8437500000000000e+00,9.0000000000000000e+01,-3.3759945488226130e-03
9.8437500000000000e+00,1.0125000000000000e+02,-3.6910999572705638e-03
9.8437500000000000e+00,1.1250000000000000e+02,1.9259597495645841e-03
9.8437500000000000e+00,1.2375000000000000e+02,1.3426991625641374e-03
9.8437500000000000e+00,1.3500000000000000e+02,-2.1092088782472471e-03
9.8437500000000000e+00,1.4625000000000000e+02,-2.7679051495089787e-03
9.8437500000000000e+00,1.5750000000000000e+02,-4.5840412441989917e-04
9.8437500000000000e+00,1.6875000000000000e+02,1.0537676394539452e-03
9.8437500000000000e+00,1.8000000000000000e+02,3.8305542282398918e-04
9.8437500000000000e+00,1.9125000000000000e+02,-7.0066167063016023e-04
9.8437500000000000e+00,2.0250000000000000e+02,-9.1528855202217493e-04
9.8437500000000000e+00,2.1375000000000000e+02,-1.7902890400427676e-04
9.8437500000000000e+00,2.2500000000000000e+02,1.0852513795245795e-03
9.8437500000000000e+00,2.3625000000000000e+02,1.3893272429442577e-03
9.8437500000000000e+00,2.4750000000000000e+02,-7.6073609148718429e-04
9.8437500000000000e+00,2.5875000000000000e+02,-3.9030512976056374e-03
9.8437500000000000e+00,2.7000000000000000e+02,-2.5756542938884385e-03
9.8437500000000000e+00,2.8125000000000000e+02,2.7075566666554074e-03
9.8437500000000000e+00,2.9250000000000000e+02,2.3701834614983167e-03
9.8437500000000000e+00,3.0375000000000000e+02,1.4712161024474924e-04
9.8437500000000000e+00,3.1500000000000000e+02,-6.0055854882248871e-04
