p1x,p1y,p1z,p1phi,p1theta,p2x,p2y,p2z,p2phi,p2theta,current,orientation,constrained
1.6049602088919264e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5604362125297511e+00,3.1039006117923990e-01,7.2729811982566617e-02,1.1250000000000000e+01,0.0000000000000000e+00,3.2717486923510201e+04,1,0
1.5477188830338691e+00,0.0000000000000000e+00,2.7853331384690860e-01,0.0000000000000000e+00,3.0000000000000000e+01,1.4772110912332597e+00,2.9383555527669564e-01,3.3222629242150792e-01,1.1250000000000000e+01,3.0000000000000000e+01,3.6619997482342391e+04,1,0
1.4135506993157487e+00,0.0000000000000000e+00,5.3362804804443131e-01,0.0000000000000000e+00,6.0000000000000000e+01,1.3060105930889891e+00,2.5978165889424204e-01,5.6743042743302341e-01,1.1250000000000000e+01,6.0000000000000000e+01,2.8242516463553635e+04,1,0
1.1809391615578890e+00,0.0000000000000000e+00,6.3220196225823211e-01,0.0000000000000000e+00,9.0000000000000000e+01,1.0810110910543798e+00,2.1502647528529367e-01,6.8396517846609750e-01,1.1250000000000000e+01,9.0000000000000000e+01,1.2704720463615314e+05,1,0
8.9613523837023590e-01,0.0000000000000000e+00,5.1192748386920794e-01,0.0000000000000000e+00,1.2000000000000000e+02,8.1852569939224695e-01,1.6281488462720212e-01,5.7065206683719205e-01,1.1250000000000000e+01,1.2000000000000000e+02,2.7069674568509165e+05,1,0
8.0736047875730443e-01,0.0000000000000000e+00,2.6997462931542138e-01,0.0000000000000000e+00,1.5000000000000000e+02,6.9697362203192281e-01,1.3863667315954473e-01,3.2259106010948629e-01,1.1250000000000000e+01,1.5000000000000000e+02,3.7888786052747036e+05,1,0
8.4770496243423032e-01,0.0000000000000000e+00,6.3634982238966618e-17,0.0000000000000000e+00,1.8000000000000000e+02,7.8662183981332079e-01,1.5646881238980975e-01,7.0864896916754905e-02,1.1250000000000000e+01,1.8000000000000000e+02,-4.0203988560419128e+05,1,0
8.0736047875730443e-01,0.0000000000000000e+00,-2.6997462931542082e-01,0.0000000000000000e+00,2.0999999999999997e+02,8.4743369211621267e-01,1.6856504189612007e-01,-1.9294341980631408e-01,1.1250000000000000e+01,2.0999999999999997e+02,-6.0865702746110946e+04,1,0
8.9613523837023568e-01,0.0000000000000000e+00,-5.1192748386920772e-01,0.0000000000000000e+00,2.4000000000000000e+02,9.2053033436906229e-01,1.8310486805413834e-01,-4.3860025696892224e-01,1.1250000000000000e+01,2.4000000000000000e+02,3.6537551971182111e+05,1,0
1.1809391615578890e+00,0.0000000000000000e+00,-6.3220196225823211e-01,0.0000000000000000e+00,2.7000000000000000e+02,1.1895424204037790e+00,2.3661469894104403e-01,-5.5072820251940646e-01,1.1250000000000000e+01,2.7000000000000000e+02,1.2837251838922729e+05,1,0
1.4135506993157489e+00,0.0000000000000000e+00,-5.3362804804443154e-01,0.0000000000000000e+00,3.0000000000000000e+02,1.4433180704769979e+00,2.8709381428041969e-01,-4.6786725884741276e-01,1.1250000000000000e+01,3.0000000000000000e+02,5.0753971874852192e+04,1,0
1.5477188830338691e+00,0.0000000000000000e+00,-2.7853331384690888e-01,0.0000000000000000e+00,3.3000000000000000e+02,1.5432708328308147e+00,3.0697565486635375e-01,-2.1990122131816933e-01,1.1250000000000000e+01,3.3000000000000000e+02,3.3871145111259291e+04,1,0
1.5604362125297511e+00,3.1039006117923990e-01,7.2729811982566617e-02,1.1250000000000000e+01,0.0000000000000000e+00,1.4360375442693616e+00,5.9482622691332343e-01,1.3080088153559796e-01,2.2500000000000000e+01,0.0000000000000000e+00,3.0293209354501116e+04,1,0
1.4772110912332597e+00,2.9383555527669564e-01,3.3222629242150792e-01,1.1250000000000000e+01,3.0000000000000000e+01,1.3395059457025278e+00,5.5484152958938571e-01,3.7553794346780522e-01,2.2500000000000000e+01,3.0000000000000000e+01,3.1648298499457727e+04,1,0
1.3060105930889891e+00,2.5978165889424204e-01,5.6743042743302341e-01,1.1250000000000000e+01,6.0000000000000000e+01,1.1544386958573658e+00,4.7818416475242947e-01,5.7618866376049560e-01,2.2500000000000000e+01,6.0000000000000000e+01,2.9281358417113854e+04,1,0
1.0810110910543798e+00,2.1502647528529367e-01,6.8396517846609750e-01,1.1250000000000000e+01,9.0000000000000000e+01,9.2826987222308710e-01,3.8450197061714264e-01,6.9095166185417911e-01,2.2500000000000000e+01,9.0000000000000000e+01,7.2285871850154013e+04,1,0
8.1852569939224695e-01,1.6281488462720212e-01,5.7065206683719205e-01,1.1250000000000000e+01,1.2000000000000000e+02,6.9859229903090425e-01,2.8936640482800136e-01,5.9985759129301941e-01,2.2500000000000000e+01,1.2000000000000000e+02,2.8737608409995743e+05,1,0
6.9697362203192281e-01,1.3863667315954473e-01,3.2259106010948629e-01,1.1250000000000000e+01,1.5000000000000000e+02,5.6656947708068417e-01,2.3468076143345185e-01,3.4670429744100617e-01,2.2500000000000000e+01,1.5000000000000000e+02,3.7182873968979338e+05,1,0
7.8662183981332079e-01,1.5646881238980975e-01,7.0864896916754905e-02,1.1250000000000000e+01,1.8000000000000000e+02,6.4379688723298356e-01,2.6666940210548390e-01,1.0378970049153763e-01,2.2500000000000000e+01,1.8000000000000000e+02,1.0344413243144519e+05,1,0
8.4743369211621267e-01,1.6856504189612007e-01,-1.9294341980631408e-01,1.1250000000000000e+01,2.0999999999999997e+02,7.8363633158583579e-01,3.2459279651115303e-01,-1.2229414069530234e-01,2.2500000000000000e+01,2.0999999999999997e+02,-4.4405391448732116e+05,1,0
9.2053033436906229e-01,1.8310486805413834e-01,-4.3860025696892224e-01,1.1250000000000000e+01,2.4000000000000000e+02,8.8408764260176220e-01,3.6620109189210764e-01,-3.6300660435430820e-01,2.2500000000000000e+01,2.4000000000000000e+02,2.4644635197265784e+05,1,0
1.1895424204037790e+00,2.3661469894104403e-01,-5.5072820251940646e-01,1.1250000000000000e+01,2.7000000000000000e+02,1.1078202973751292e+00,4.5887419184497380e-01,-4.7157000883815792e-01,2.2500000000000000e+01,2.7000000000000000e+02,1.5877716644641722e+05,1,0
1.4433180704769979e+00,2.8709381428041969e-01,-4.6786725884741276e-01,1.1250000000000000e+01,3.0000000000000000e+02,1.3668909572674428e+00,5.6618477278531754e-01,-3.8600733037428958e-01,2.2500000000000000e+01,3.0000000000000000e+02,6.3111261485785457e+04,1,0
1.5432708328308147e+00,3.0697565486635375e-01,-2.1990122131816933e-01,1.1250000000000000e+01,3.3000000000000000e+02,1.4580421022925558e+00,6.0394081328055627e-01,-1.5770685087747682e-01,2.2500000000000000e+01,3.3000000000000000e+02,3.9240818695016897e+04,1,0
1.4360375442693616e+00,5.9482622691332343e-01,1.3080088153559796e-01,2.2500000000000000e+01,0.0000000000000000e+00,1.2526221932367620e+00,8.3697539090442441e-01,1.6889025220590762e-01,3.3750000000000000e+01,0.0000000000000000e+00,3.1548341690992678e+04,1,0
1.3395059457025278e+00,5.5484152958938571e-01,3.7553794346780522e-01,2.2500000000000000e+01,3.0000000000000000e+01,1.1504079814754409e+00,7.6867803811375002e-01,4.0217776617695961e-01,3.3750000000000000e+01,3.0000000000000000e+01,1.8451707820120166e+04,1,0
1.1544386958573658e+00,4.7818416475242947e-01,5.7618866376049560e-01,2.2500000000000000e+01,6.0000000000000000e+01,9.7568124245855148e-01,6.5192936362936416e-01,5.7086656918676992e-01,3.3750000000000000e+01,6.0000000000000000e+01,3.8866313958294239e+04,1,0
9.2826987222308710e-01,3.8450197061714264e-01,6.9095166185417911e-01,2.2500000000000000e+01,9.0000000000000000e+01,7.6046721916119098e-01,5.0812795068140149e-01,6.6467632849209601e-01,3.3750000000000000e+01,9.0000000000000000e+01,3.0278806668683856e+03,1,0
6.9859229903090425e-01,2.8936640482800136e-01,5.9985759129301941e-01,2.2500000000000000e+01,1.2000000000000000e+02,5.5977787225948406e-01,3.7403161622370534e-01,5.9151135674701172e-01,3.3750000000000000e+01,1.2000000000000000e+02,2.7941500566718361e+05,1,0
5.6656947708068417e-01,2.3468076143345185e-01,3.4670429744100617e-01,2.2500000000000000e+01,1.5000000000000000e+02,4.3919975520717602e-01,2.9346389420882035e-01,3.4720419492345894e-01,3.3750000000000000e+01,1.5000000000000000e+02,4.1501474039656512e+05,1,0
6.4379688723298356e-01,2.6666940210548390e-01,1.0378970049153763e-01,2.2500000000000000e+01,1.8000000000000000e+02,4.8717286921861824e-01,3.2551850418573308e-01,9.7268447234204525e-02,3.3750000000000000e+01,1.8000000000000000e+02,2.2323826771146787e+05,1,0
7.8363633158583579e-01,3.2459279651115303e-01,-1.2229414069530234e-01,2.2500000000000000e+01,2.0999999999999997e+02,6.4406089786245513e-01,4.3034773347081590e-01,-9.2019292727594307e-02,3.3750000000000000e+01,2.0999999999999997e+02,-1.9993109918536717e+05,1,0
8.8408764260176220e-01,3.6620109189210764e-01,-3.6300660435430820e-01,2.2500000000000000e+01,2.4000000000000000e+02,7.8246673236305242e-01,5.2282755544750892e-01,-3.0048909733080875e-01,3.3750000000000000e+01,2.4000000000000000e+02,-1.2658776260582003e+05,1,0
1.1078202973751292e+00,4.5887419184497380e-01,-4.7157000883815792e-01,2.2500000000000000e+01,2.7000000000000000e+02,9.6726815837426661e-01,6.4630792056522612e-01,-4.1299410666160541e-01,3.3750000000000000e+01,2.7000000000000000e+02,1.9197141356739518e+05,1,0
