phi,theta,relBn
1.4062500000000000e+00,0.0000000000000000e+00,1.0549591503928011e-03
1.4062500000000000e+00,1.1250000000000000e+01,9.1978994207293503e-04
1.4062500000000000e+00,2.2500000000000000e+01,9.2883612530812135e-04
1.4062500000000000e+00,3.3750000000000000e+01,1.1910380560111349e-03
1.4062500000000000e+00,4.5000000000000000e+01,6.3803111100391391e-04
1.4062500000000000e+00,5.6250000000000000e+01,-9.8741002426949777e-05
1.4062500000000000e+00,6.7500000000000000e+01,-1.2117096666058781e-04
1.4062500000000000e+00,7.8750000000000000e+01,-3.9369417017676996e-04
1.4062500000000000e+00,9.0000000000000000e+01,-2.5357428523347940e-03
1.4062500000000000e+00,1.0125000000000000e+02,-2.1305279044598400e-03
1.4062500000000000e+00,1.1250000000000000e+02,7.0772850217432374e-04
1.4062500000000000e+00,1.2375000000000000e+02,1.0129033734974468e-03
1.4062500000000000e+00,1.3500000000000000e+02,-4.0177721696980608e-04
1.4062500000000000e+00,1.4625000000000000e+02,-1.5245564459947507e-03
1.4062500000000000e+00,1.5750000000000000e+02,-1.5752299969588042e-03
1.4062500000000000e+00,1.6875000000000000e+02,-1.0920428193062787e-03
1.4062500000000000e+00,1.8000000000000000e+02,-5.6395252937085103e-04
1.4062500000000000e+00,1.9125000000000000e+02,3.2020680551071061e-04
1.4062500000000000e+00,2.0250000000000000e+02,1.4793793237267174e-03
1.4062500000000000e+00,2.1375000000000000e+02,1.7633885143380455e-03
1.4062500000000000e+00,2.2500000000000000e+02,4.2680995892678173e-04
1.4062500000000000e+00,2.3625000000000000e+02,-1.4960862618122227e-03
1.4062500000000000e+00,2.4750000000000000e+02,-1.8540199996434576e-03
1.4062500000000000e+00,2.5875000000000000e+02,2.0288416596870034e-04
1.4062500000000000e+00,2.7000000000000000e+02,1.4325169300620543e-03
1.4062500000000000e+00,2.8125000000000000e+02,4.3541115741877032e-04
1.4062500000000000e+00,2.9250000000000000e+02,5.2739960536533307e-04
1.4062500000000000e+00,3.0375000000000000e+02,8.1215547638222724e-04
1.4062500000000000e+00,3.1500000000000000e+02,7.3243361967872923e-04
1.4062500000000000e+00,3.2625000000000000e+02,8.7859904681865495e-04
1.4062500000000000e+00,3.3750000000000000e+02,1.4106610820615595e-03
1.4062500000000000e+00,3.4875000000000000e+02,1.3133407062306888e-03
4.2187500000000000e+00,0.0000000000000000e+00,5.7497974557203986e-04
4.2187500000000000e+00,1.1250000000000000e+01,3.5474465994585777e-04
4.2187500000000000e+00,2.2500000000000000e+01,3.5112095081364831e-04
4.2187500000000000e+00,3.3750000000000000e+01,4.9742139759488991e-04
4.2187500000000000e+00,4.5000000000000000e+01,-1.9870539314325152e-04
4.2187500000000000e+00,5.6250000000000000e+01,-6.3457528320789633e-04
4.2187500000000000e+00,6.7500000000000000e+01,2.6180028169974200e-04
4.2187500000000000e+00,7.8750000000000000e+01,1.2867074977083455e-03
4.2187500000000000e+00,9.0000000000000000e+01,1.0540284472482826e-04
4.2187500000000000e+00,1.0125000000000000e+02,-1.2880123693080846e-03
4.2187500000000000e+00,1.1250000000000000e+02,7.9237992550725353e-05
4.2187500000000000e+00,1.2375000000000000e+02,5.9612408277365584e-04
4.2187500000000000e+00,1.3500000000000000e+02,1.1782057416259271e-04
4.2187500000000000e+00,1.4625000000000000e+02,-4.7285318603697583e-04
4.2187500000000000e+00,1.5750000000000000e+02,-9.6893466120915651e-04
4.2187500000000000e+00,1.6875000000000000e+02,-1.4841877194175157e-03
4.2187500000000000e+00,1.8000000000000000e+02,-1.6134059273439389e-03
4.2187500000000000e+00,1.9125000000000000e+02,-6.4101861090096960e-04
4.2187500000000000e+00,2.0250000000000000e+02,9.5724419551897362e-04
4.2187500000000000e+00,2.1375000000000000e+02,1.5544809194659290e-03
4.2187500000000000e+00,2.2500000000000000e+02,4.3185044585221979e-04
4.2187500000000000e+00,2.3625000000000000e+02,-1.1753465629954023e-03
4.2187500000000000e+00,2.4750000000000000e+02,-1.4986367260925258e-03
4.2187500000000000e+00,2.5875000000000000e+02,-7.5499819370968880e-04
4.2187500000000000e+00,2.7000000000000000e+02,-1.5103123297413828e-03
4.2187500000000000e+00,2.8125000000000000e+02,-1.9130810684260316e-03
4.2187500000000000e+00,2.9250000000000000e+02,-6.1476846442189256e-04
4.2187500000000000e+00,3.0375000000000000e+02,5.6796945160571786e-04
4.2187500000000000e+00,3.1500000000000000e+02,1.1422953363813761e-03
4.2187500000000000e+00,3.2625000000000000e+02,1.5327489756434757e-03
4.2187500000000000e+00,3.3750000000000000e+02,1.7814144866675104e-03
4.2187500000000000e+00,3.4875000000000000e+02,1.1703665547777857e-03
7.0312500000000000e+00,0.0000000000000000e+00,-1.9738000765644353e-03
7.0312500000000000e+00,1.1250000000000000e+01,-1.9347710101986317e-03
7.0312500000000000e+00,2.2500000000000000e+01,-1.5350989018610331e-03
7.0312500000000000e+00,3.3750000000000000e+01,-1.0072806337520046e-03
7.0312500000000000e+00,4.5000000000000000e+01,-1.3171512975755639e-03
7.0312500000000000e+00,5.6250000000000000e+01,-1.2090767587767690e-03
7.0312500000000000e+00,6.7500000000000000e+01,3.0486231590988634e-04
7.0312500000000000e+00,7.8750000000000000e+01,1.9866875306521108e-03
7.0312500000000000e+00,9.0000000000000000e+01,1.7711044986172249e-03
7.0312500000000000e+00,1.0125000000000000e+02,1.8124326059648042e-04
7.0312500000000000e+00,1.1250000000000000e+02,1.0757307860244544e-04
7.0312500000000000e+00,1.2375000000000000e+02,5.3081923084489320e-04
7.0312500000000000e+00,1.3500000000000000e+02,9.9435328576420300e-04
7.0312500000000000e+00,1.4625000000000000e+02,1.0093852078992115e-03
7.0312500000000000e+00,1.5750000000000000e+02,1.4306974684921471e-05
7.0312500000000000e+00,1.6875000000000000e+02,-1.6007992222328497e-03
7.0312500000000000e+00,1.8000000000000000e+02,-2.4489568745277549e-03
7.0312500000000000e+00,1.9125000000000000e+02,-1.4620060265752449e-03
7.0312500000000000e+00,2.0250000000000000e+02,4.7847719359927782e-04
7.0312500000000000e+00,2.1375000000000000e+02,1.3787512515595105e-03
7.0312500000000000e+00,2.2500000000000000e+02,6.3990028700466959e-04
7.0312500000000000e+00,2.3625000000000000e+02,-2.8855319422166234e-04
7.0312500000000000e+00,2.4750000000000000e+02,1.9775446336890880e-04
7.0312500000000000e+00,2.5875000000000000e+02,1.4362071609571451e-03
7.0312500000000000e+00,2.7000000000000000e+02,1.8918718942656523e-04
7.0312500000000000e+00,2.8125000000000000e+02,-1.8467342285218773e-03
7.0312500000000000e+00,2.9250000000000000e+02,-1.3782475402975745e-03
7.0312500000000000e+00,3.0375000000000000e+02,-7.2957997568193840e-04
7.0312500000000000e+00,3.1500000000000000e+02,-5.7437338242229943e-04
7.0312500000000000e+00,3.2625000000000000e+02,-5.4686462521741765e-04
7.0312500000000000e+00,3.3750000000000000e+02,-6.6250338686069902e-04
7.0312500000000000e+00,3.4875000000000000e+02,-1.4575810679249848e-03
9.8437500000000000e+00,0.0000000000000000e+00,-1.4374201731170569e-03
9.8437500000000000e+00,1.1250000000000000e+01,-1.1250193222149484e-03
9.8437500000000000e+00,2.2500000000000000e+01,-4.7292294572286923e-04
9.8437500000000000e+00,3.3750000000000000e+01,1.2660285258520124e-04
9.8437500000000000e+00,4.5000000000000000e+01,-2.4222928592811802e-04
9.8437500000000000e+00,5.6250000000000000e+01,-3.2156082334708049e-04
9.8437500000000000e+00,6.7500000000000000e+01,6.9278904790987439e-04
9.8437500000000000e+00,7.8750000000000000e+01,1.5406876018192086e-03
9.8437500000000000e+00,9.0000000000000000e+01,7.8342233129861721e-04
9.8437500000000000e+00,1.0125000000000000e+02,-6.9917621122322579e-04
9.8437500000000000e+00,1.1250000000000000e+02,-7.9800528682037947e-04
9.8437500000000000e+00,1.2375000000000000e+02,6.0421543285797375e-05
9.8437500000000000e+00,1.3500000000000000e+02,1.5344907274614883e-03
9.8437500000000000e+00,1.4625000000000000e+02,2.1923843785532950e-03
9.8437500000000000e+00,1.5750000000000000e+02,8.9191034198985678e-04
9.8437500000000000e+00,1.6875000000000000e+02,-1.5125384259737553e-03
9.8437500000000000e+00,1.8000000000000000e+02,-2.8421596696010338e-03
9.8437500000000000e+00,1.9125000000000000e+02,-1.8443558537780938e-03
9.8437500000000000e+00,2.0250000000000000e+02,2.3561308643613285e-04
9.8437500000000000e+00,2.1375000000000000e+02,1.2015518779345683e-03
9.8437500000000000e+00,2.2500000000000000e+02,6.0120312177238810e-04
9.8437500000000000e+00,2.3625000000000000e+02,-6.7637993552220629e-05
9.8437500000000000e+00,2.4750000000000000e+02,6.5430334724321277e-04
9.8437500000000000e+00,2.5875000000000000e+02,2.5286073569330855e-03
9.8437500000000000e+00,2.7000000000000000e+02,3.5967782634178844e-03
9.8437500000000000e+00,2.8125000000000000e+02,2.0759515883185852e-03
9.8437500000000000e+00,2.9250000000000000e+02,8.1523141436995916e-04
9.8437500000000000e+00,3.0375000000000000e+02,-8.9594773111377701e-05
9.8437500000000000e+00,3.1500000000000000e+02,-7.3263081031670974e-04
9.8437500000000000e+00,3.2625000000000000e+02,-8.1541098277465411e-04
9.8437500000000000e+00,3.3750000000000000e+02,-7.1901886399190187e-04
9.8437500000000000e+00,3.4875000000000000e+02,-1.1898432087562416e-03
1.2656250000000000e+01,0.0000000000000000e+00,8.2367269349346622e-04
1.2656250000000000e+01,1.1250000000000000e+01,9.4715601125380008e-04
1.2656250000000000e+01,2.2500000000000000e+01,1.3201468336814161e-03
1.2656250000000000e+01,3.3750000000000000e+01,1.5085830202430212e-03
1.2656250000000000e+01,4.5000000000000000e+01,7.2963243379686391e-04
1.2656250000000000e+01,5.6250000000000000e+01,2.5707055563406581e-04
1.2656250000000000e+01,6.7500000000000000e+01,6.4509075962295868e-04
1.2656250000000000e+01,7.8750000000000000e+01,6.7368092553268138e-04
1.2656250000000000e+01,9.0000000000000000e+01,-4.5255972744135634e-04
1.2656250000000000e+01,1.0125000000000000e+02,-1.9444428404860150e-03
1.2656250000000000e+01,1.1250000000000000e+02,-2.3460671928887283e-03
1.2656250000000000e+01,1.2375000000000000e+02,-1.1482393386059836e-03
1.2656250000000000e+01,1.3500000000000000e+02,1.2432331582335758e-03
1.2656250000000000e+01,1.4625000000000000e+02,2.6200888937896955e-03
1.2656250000000000e+01,1.5750000000000000e+02,1.4674744865829648e-03
1.2656250000000000e+01,1.6875000000000000e+02,-1.0838847995919467e-03
